"事件時間","事件細目"
"2024-09-06T11:54:27Z","{""服務項目"":""POS"",""機器人數量"":16,""部門"":"台中"}"
"2024-09-02T09:17:37Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-02T09:18:37Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T09:30:37Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T09:11:38Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T22:54:37Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-07T06:26:11Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T05:23:47Z","{""服務項目"":""POS"",""機器人數量"":19,""部門"":"台中"}"
"2024-09-07T12:04:11Z","{""服務項目"":""POS"",""機器人數量"":17,""部門"":"台中"}"
"2024-09-05T05:12:51Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T03:43:37Z","{""服務項目"":""POS"",""機器人數量"":14,""部門"":"台中"}"
"2024-09-05T04:18:37Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T04:53:51Z","{""服務項目"":""POS"",""機器人數量"":16,""部門"":"台中"}"
"2024-09-05T08:33:37Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T03:05:41Z","{""服務項目"":""POS"",""機器人數量"":18,""部門"":"台中"}"
"2024-09-04T03:44:37Z","{""服務項目"":""POS"",""機器人數量"":13,""部門"":"台中"}"
"2024-09-07T16:19:47Z","{""服務項目"":""POS"",""機器人數量"":3,""部門"":"台中"}"
"2024-09-06T09:37:37Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T09:39:37Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T09:08:37Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T23:13:41Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T05:44:51Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T12:42:51Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-01T13:00:51Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T12:10:11Z","{""服務項目"":""POS"",""機器人數量"":16,""部門"":"台中"}"
"2024-09-05T04:47:27Z","{""服務項目"":""POS"",""機器人數量"":17,""部門"":"台中"}"
"2024-09-04T01:59:51Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-05T23:32:38Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T01:53:51Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T22:15:38Z","{""服務項目"":""POS"",""機器人數量"":5,""部門"":"台中"}"
"2024-09-06T08:40:38Z","{""服務項目"":""POS"",""機器人數量"":5,""部門"":"台中"}"
"2024-09-06T03:12:38Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T12:35:27Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T12:16:11Z","{""機器人數量"":15,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T22:39:37Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-07T07:35:47Z","{""服務項目"":""POS"",""機器人數量"":5,""部門"":"台中"}"
"2024-09-07T03:04:41Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T23:32:41Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T03:29:38Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T01:24:27Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-05T12:47:51Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-07T00:04:41Z","{""服務項目"":""POS"",""機器人數量"":11,""部門"":"台中"}"
"2024-09-07T23:37:41Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-07T06:14:11Z","{""服務項目"":""POS"",""機器人數量"":14,""部門"":"台中"}"
"2024-09-06T14:58:27Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T01:24:27Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T03:12:41Z","{""服務項目"":""POS"",""機器人數量"":20,""部門"":"台中"}"
"2024-09-06T04:07:37Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T04:08:37Z","{""機器人數量"":19,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T06:38:11Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-07T12:34:11Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-01T03:03:37Z","{""服務項目"":""POS"",""機器人數量"":18,""部門"":"台中"}"
"2024-09-01T03:04:37Z","{""服務項目"":""POS"",""機器人數量"":20,""部門"":"台中"}"
"2024-09-06T12:54:51Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T05:56:51Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-07T08:57:41Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-07T08:58:41Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-06T09:53:37Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T10:08:41Z","{""服務項目"":""POS"",""機器人數量"":20,""部門"":"台中"}"
"2024-09-07T12:28:11Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T23:21:41Z","{""服務項目"":""POS"",""機器人數量"":5,""部門"":"台中"}"
"2024-09-06T22:43:41Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-02T04:48:51Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T03:40:37Z","{""服務項目"":""POS"",""機器人數量"":13,""部門"":"台中"}"
"2024-09-07T09:05:41Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T12:00:51Z","{""機器人數量"":15,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T03:29:37Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T03:30:38Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-06T12:30:51Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-01T09:38:37Z","{""服務項目"":""POS"",""機器人數量"":16,""部門"":"台中"}"
"2024-09-03T03:53:37Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T05:42:51Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T22:47:37Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T23:04:37Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T23:00:41Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T23:02:41Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-07T00:23:41Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-07T22:32:41Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T23:07:37Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-07T02:09:41Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T23:50:41Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T23:53:37Z","{""服務項目"":""POS"",""機器人數量"":11,""部門"":"台中"}"
"2024-09-04T08:58:38Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
